lineage,cell_type,marker_genes,expected_markers,cancer_or_host,comments
cancer,cancer,,,cancer,
myeloid,macrophages,PTPRC;AIF1;CD68,PTPRCxAIF1xCD68,host,
myeloid,dendritic,PTPRC;AIF1;XCR1;CLEC9A;FCER1A;CD1C;FSCN1;CCR7,PTPRCxAIF1x(XCR1+CLEC9A+FCER1A+CD1C+FSCN1+CCR7),host,
myeloid,Eosinophils,PTPRC;AIF1;ADGRE1,PTPRCxAIF1xADGRE1,host,
myeloid,Neutrophils,PTPRC;AIF1;CSF3R;S100A8;CTSG;MPO,PTPRCxAIF1x(CSF3R+S100A8+CTSG+MPO),host,
myeloid,MAST,PTPRC;AIF1;KIT;TPSAB1;TPSB2,PTPRCxAIF1x(KIT+TPSAB1+TPSB2),host,
myeloid,MDSC,PTPRC;AIF1;S100A8;ICAM1;S100A9,PTPRCxAIF1x(S100A8+ICAM1+S100A9),host,
pDC,pDC,PTPRC;IRF7;TCF4,PTPRCx(IRF7+TCF4),host,
lymphoid,T CD8,PTPRC;CD3E;CD3D;CD8A;CD8B,PTPRCx(CD3E+CD3D)x(CD8A+CD8B),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid,T CD4,PTPRC;CD3E;CD3D;CD4;TCF7;SELL;IFNG;IL4;IL17A;IL21,PTPRCx(CD3E+CD3D)x(CD4+!CD8A)x(CD4+!CD8B)x(+TCF7+SELL+IFNG+IL4+IL17A+IL21)x(!FOXP3),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid,Treg,PTPRC;CD3E;CD3D;CD4;FOXP3;TIGIT;CTLA4;IL2RA,PTPRCx(CD3E+CD3D)x(CD4+!CD8A)x(CD4+!CD8B)xFOXP3x(+TIGIT+CTLA4+IL2RA),host,verify which CD3 and CD8 genes you find in Wu data
lymphoid,B,PTPRC;CD19;MS4A1,PTPRCx(CD19+MS4A1),host,
lymphoid,ILC,PTPRC;KLRB1,PTPRCxKLRB1,host,
lymphoid,Plasma,PTPRC;JCHAIN,PTPRCxJCHAIN,host,
stromal,fibroblasts,COL1A1;COL1A2;VIM;FAP;PDGFRB;PDGFRA;LUM;SPP1;DCN,VIMx(COL1A1+COL1A2+FAP+PDGFRB+LUM+SPP1+DCN+PDGFRA),host,verify you find COLA1 and COLA2 in Wu data
stromal,adipocytes,ACLY;ACACA;FASN,ACLYxACACAxFASN,host,
stromal,endothelial,PECAM1;EGFL7;ID3;FLT1,PECAM1+EGFL7+ID3+FLT1,host,
stromal,epithelial,CDH1;EPCAM,CDH1+EPCAM,host,
stromal,Smooth muscle,ACTA2;MYL9;MYLK;MYH11,ACTA2+MYL9+MYLK+MYH11,host,
stromal,skeletal muscle,FADS1;FGFR4;ACTA1;MLC1;MYLPF,FADS1+FGFR4+ACTA1+MLC1+MYLPF,host,
stromal,skin epithelial,KRT5;KRT16;S100A14;KRT15;CALML5;LHX2;KRT23;KRT14,KRT5x(KRT16+S100A14+KRT15+CALML5+LHX2+KRT23+KRT14),host,
stromal,airway epithelial,AQP1;CDH1,AQP1+CDH1,host,
stromal,alveolar epithelial,CLDN18;COL4A3;SFTPC;SLC34A2;SFTPA1,CLDN18+COL4A3+SFTPC+SLC34A2+SFTPA1,host,
stromal,Melanocyte,MLANA;TYRP1;RAB38;MITF;MC1R,MLANA+TYRP1+RAB38+MITF+MC1R,host,
Erythrocytes,Erythrocytes,HBB;HBA1;HBA2,HBB+HBA1+HBA2,host,
