"Symbol"	"Mutations"	"Samples"	"Samples (%)"	"Cohorts"
"TP53"	"105"	"68"	"53.13"	"3"
"NOTCH1"	"97"	"63"	"49.22"	"3"
"LRP1B"	"134"	"43"	"33.59"	"2"
"NOTCH2"	"75"	"41"	"32.03"	"2"
"FAT1"	"70"	"35"	"27.34"	"2"
"KMT2D"	"58"	"32"	"25"	"3"
"CDKN2A"	"34"	"29"	"22.66"	"3"
"ZNF521"	"43"	"25"	"19.53"	"1"
"ARID2"	"43"	"24"	"18.75"	"2"
"CASP8"	"27"	"20"	"15.63"	"1"
"CNTRL"	"30"	"20"	"15.63"	"1"
"HRAS"	"16"	"15"	"11.72"	"2"
"KMT2C"	"65"	"14"	"10.94"	"1"
"CSF3R"	"13"	"12"	"9.38"	"1"
"PDGFRA"	"21"	"11"	"8.59"	"1"
"UBR5"	"21"	"10"	"7.81"	"1"
"TRIP11"	"21"	"9"	"7.03"	"1"
"ELN"	"18"	"9"	"7.03"	"1"
"PTEN"	"11"	"8"	"6.25"	"2"
"CRNKL1"	"14"	"7"	"5.47"	"1"
"ACVR2A"	"8"	"6"	"4.69"	"1"
"BCL2L12"	"9"	"6"	"4.69"	"1"
"CDH1"	"9"	"5"	"3.91"	"1"
"IKZF3"	"6"	"5"	"3.91"	"1"
"ARHGEF10"	"16"	"5"	"3.91"	"1"
"EPAS1"	"13"	"4"	"3.13"	"1"
"KDR"	"34"	"3"	"2.34"	"1"
"BRAF"	"7"	"3"	"2.34"	"1"
"POLQ"	"25"	"2"	"1.56"	"1"
"TCF12"	"7"	"2"	"1.56"	"1"
"SETBP1"	"35"	"2"	"1.56"	"1"
