cell_type,sample_id,DB,samples,lineageGRINT,cellTypeGRINT,label.fine,label.main
keratinocyte.1,keratinocyte,keratinocyte.1,ENCODE,keratinocyte.1,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.2,keratinocyte,keratinocyte.2,ENCODE,keratinocyte.2,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.3,keratinocyte,keratinocyte.3,ENCODE,keratinocyte.3,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.4,keratinocyte,keratinocyte.4,ENCODE,keratinocyte.4,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.5,keratinocyte,keratinocyte.5,ENCODE,keratinocyte.5,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.6,keratinocyte,keratinocyte.6,ENCODE,keratinocyte.6,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.7,keratinocyte,keratinocyte.7,ENCODE,keratinocyte.7,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.8,keratinocyte,keratinocyte.8,ENCODE,keratinocyte.8,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.12,keratinocyte,keratinocyte.12,ENCODE,keratinocyte.12,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.13,keratinocyte,keratinocyte.13,ENCODE,keratinocyte.13,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.14,keratinocyte,keratinocyte.14,ENCODE,keratinocyte.14,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.10,keratinocyte,keratinocyte.10,ENCODE,keratinocyte.10,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.11,keratinocyte,keratinocyte.11,ENCODE,keratinocyte.11,stromal,Keratinocytes,Keratinocytes,stromal
keratinocyte.9,keratinocyte,keratinocyte.9,ENCODE,keratinocyte.9,stromal,Keratinocytes,Keratinocytes,stromal
kidney.epithelial.cell.3,kidney.epithelial.cell,kidney.epithelial.cell.3,ENCODE,kidney.epithelial.cell.3,stromal,epithelial,epithelial,stromal
kidney.epithelial.cell.4,kidney.epithelial.cell,kidney.epithelial.cell.4,ENCODE,kidney.epithelial.cell.4,stromal,epithelial,epithelial,stromal
kidney.epithelial.cell.2,kidney.epithelial.cell,kidney.epithelial.cell.2,ENCODE,kidney.epithelial.cell.2,stromal,epithelial,epithelial,stromal
kidney.epithelial.cell.1,kidney.epithelial.cell,kidney.epithelial.cell.1,ENCODE,kidney.epithelial.cell.1,stromal,epithelial,epithelial,stromal
mesenchymal.stem.cell.of.Wharton.s.jelly.3,mesenchymal.stem.cell.of.Wharton.s.jelly,mesenchymal.stem.cell.of.Wharton.s.jelly.3,ENCODE,mesenchymal.stem.cell.of.Wharton.s.jelly.3,HSC,MSC,MSC,HSC
mesenchymal.stem.cell.of.Wharton.s.jelly.2,mesenchymal.stem.cell.of.Wharton.s.jelly,mesenchymal.stem.cell.of.Wharton.s.jelly.2,ENCODE,mesenchymal.stem.cell.of.Wharton.s.jelly.2,HSC,MSC,MSC,HSC
mesenchymal.stem.cell.of.Wharton.s.jelly.4,mesenchymal.stem.cell.of.Wharton.s.jelly,mesenchymal.stem.cell.of.Wharton.s.jelly.4,ENCODE,mesenchymal.stem.cell.of.Wharton.s.jelly.4,HSC,MSC,MSC,HSC
mesenchymal.stem.cell.of.Wharton.s.jelly.1,mesenchymal.stem.cell.of.Wharton.s.jelly,mesenchymal.stem.cell.of.Wharton.s.jelly.1,ENCODE,mesenchymal.stem.cell.of.Wharton.s.jelly.1,HSC,MSC,MSC,HSC
hair.follicular.keratinocyte.4,hair.follicular.keratinocyte,hair.follicular.keratinocyte.4,ENCODE,hair.follicular.keratinocyte.4,stromal,Keratinocytes,Keratinocytes,stromal
hair.follicular.keratinocyte.2,hair.follicular.keratinocyte,hair.follicular.keratinocyte.2,ENCODE,hair.follicular.keratinocyte.2,stromal,Keratinocytes,Keratinocytes,stromal
hair.follicular.keratinocyte.1,hair.follicular.keratinocyte,hair.follicular.keratinocyte.1,ENCODE,hair.follicular.keratinocyte.1,stromal,Keratinocytes,Keratinocytes,stromal
hair.follicular.keratinocyte.3,hair.follicular.keratinocyte,hair.follicular.keratinocyte.3,ENCODE,hair.follicular.keratinocyte.3,stromal,Keratinocytes,Keratinocytes,stromal
mammary.epithelial.cell.1,mammary.epithelial.cell,mammary.epithelial.cell.1,ENCODE,mammary.epithelial.cell.1,stromal,epithelial,epithelial,stromal
mammary.epithelial.cell.3,mammary.epithelial.cell,mammary.epithelial.cell.3,ENCODE,mammary.epithelial.cell.3,stromal,epithelial,epithelial,stromal
mammary.epithelial.cell.4,mammary.epithelial.cell,mammary.epithelial.cell.4,ENCODE,mammary.epithelial.cell.4,stromal,epithelial,epithelial,stromal
mammary.epithelial.cell.2,mammary.epithelial.cell,mammary.epithelial.cell.2,ENCODE,mammary.epithelial.cell.2,stromal,epithelial,epithelial,stromal
mammary.epithelial.cell.5,mammary.epithelial.cell,mammary.epithelial.cell.5,ENCODE,mammary.epithelial.cell.5,stromal,epithelial,epithelial,stromal
mammary.epithelial.cell.6,mammary.epithelial.cell,mammary.epithelial.cell.6,ENCODE,mammary.epithelial.cell.6,stromal,epithelial,epithelial,stromal
Purkinje.cell.3,Purkinje.cell,Purkinje.cell.3,ENCODE,Purkinje.cell.3,Neurons,Neurons,Neurons,Neurons
Purkinje.cell.4,Purkinje.cell,Purkinje.cell.4,ENCODE,Purkinje.cell.4,Neurons,Neurons,Neurons,Neurons
Purkinje.cell.2,Purkinje.cell,Purkinje.cell.2,ENCODE,Purkinje.cell.2,Neurons,Neurons,Neurons,Neurons
Purkinje.cell.1,Purkinje.cell,Purkinje.cell.1,ENCODE,Purkinje.cell.1,Neurons,Neurons,Neurons,Neurons
mesenchymal.stem.cell.of.the.bone.marrow.1.1,mesenchymal.stem.cell.of.the.bone.marrow,mesenchymal.stem.cell.of.the.bone.marrow.1,BLUEPRINT,mesenchymal.stem.cell.of.the.bone.marrow.1.1,HSC,MSC,MSC,HSC
mesenchymal.stem.cell.of.the.bone.marrow.1,mesenchymal.stem.cell.of.the.bone.marrow,mesenchymal.stem.cell.of.the.bone.marrow.1,ENCODE,mesenchymal.stem.cell.of.the.bone.marrow.1,HSC,MSC,MSC,HSC
mesenchymal.stem.cell.of.the.bone.marrow.3,mesenchymal.stem.cell.of.the.bone.marrow,mesenchymal.stem.cell.of.the.bone.marrow.3,ENCODE,mesenchymal.stem.cell.of.the.bone.marrow.3,HSC,MSC,MSC,HSC
mesenchymal.stem.cell.of.the.bone.marrow.2.1,mesenchymal.stem.cell.of.the.bone.marrow,mesenchymal.stem.cell.of.the.bone.marrow.2,BLUEPRINT,mesenchymal.stem.cell.of.the.bone.marrow.2.1,HSC,MSC,MSC,HSC
mesenchymal.stem.cell.of.the.bone.marrow.4,mesenchymal.stem.cell.of.the.bone.marrow,mesenchymal.stem.cell.of.the.bone.marrow.4,ENCODE,mesenchymal.stem.cell.of.the.bone.marrow.4,HSC,MSC,MSC,HSC
mesenchymal.stem.cell.of.the.bone.marrow.2,mesenchymal.stem.cell.of.the.bone.marrow,mesenchymal.stem.cell.of.the.bone.marrow.2,ENCODE,mesenchymal.stem.cell.of.the.bone.marrow.2,HSC,MSC,MSC,HSC
thoracic.aorta.endothelial.cell.3,thoracic.aorta.endothelial.cell,thoracic.aorta.endothelial.cell.3,ENCODE,thoracic.aorta.endothelial.cell.3,stromal,endothelial,endothelial,stromal
thoracic.aorta.endothelial.cell.2,thoracic.aorta.endothelial.cell,thoracic.aorta.endothelial.cell.2,ENCODE,thoracic.aorta.endothelial.cell.2,stromal,endothelial,endothelial,stromal
thoracic.aorta.endothelial.cell.1,thoracic.aorta.endothelial.cell,thoracic.aorta.endothelial.cell.1,ENCODE,thoracic.aorta.endothelial.cell.1,stromal,endothelial,endothelial,stromal
thoracic.aorta.endothelial.cell.4,thoracic.aorta.endothelial.cell,thoracic.aorta.endothelial.cell.4,ENCODE,thoracic.aorta.endothelial.cell.4,stromal,endothelial,endothelial,stromal
CD14.positive.monocyte.5,CD14.positive.monocyte,CD14.positive.monocyte.5,ENCODE,CD14.positive.monocyte.5,myeloid,macrophages,monocyte,myeloid
CD14.positive.monocyte.1,CD14.positive.monocyte,CD14.positive.monocyte.1,ENCODE,CD14.positive.monocyte.1,myeloid,macrophages,monocyte,myeloid
CD14.positive.monocyte.4,CD14.positive.monocyte,CD14.positive.monocyte.4,ENCODE,CD14.positive.monocyte.4,myeloid,macrophages,monocyte,myeloid
CD14.positive.monocyte.2,CD14.positive.monocyte,CD14.positive.monocyte.2,ENCODE,CD14.positive.monocyte.2,myeloid,macrophages,monocyte,myeloid
CD14.positive.monocyte.3,CD14.positive.monocyte,CD14.positive.monocyte.3,ENCODE,CD14.positive.monocyte.3,myeloid,macrophages,monocyte,myeloid
melanocyte.of.skin.3,melanocyte.of.skin,melanocyte.of.skin.3,ENCODE,melanocyte.of.skin.3,stromal,Melanocyte,Melanocyte,stromal
melanocyte.of.skin.4,melanocyte.of.skin,melanocyte.of.skin.4,ENCODE,melanocyte.of.skin.4,stromal,Melanocyte,Melanocyte,stromal
melanocyte.of.skin.2,melanocyte.of.skin,melanocyte.of.skin.2,ENCODE,melanocyte.of.skin.2,stromal,Melanocyte,Melanocyte,stromal
melanocyte.of.skin.1,melanocyte.of.skin,melanocyte.of.skin.1,ENCODE,melanocyte.of.skin.1,stromal,Melanocyte,Melanocyte,stromal
melanocyte.of.skin.8,melanocyte.of.skin,melanocyte.of.skin.8,ENCODE,melanocyte.of.skin.8,stromal,Melanocyte,Melanocyte,stromal
melanocyte.of.skin.5,melanocyte.of.skin,melanocyte.of.skin.5,ENCODE,melanocyte.of.skin.5,stromal,Melanocyte,Melanocyte,stromal
melanocyte.of.skin.7,melanocyte.of.skin,melanocyte.of.skin.7,ENCODE,melanocyte.of.skin.7,stromal,Melanocyte,Melanocyte,stromal
melanocyte.of.skin.6,melanocyte.of.skin,melanocyte.of.skin.6,ENCODE,melanocyte.of.skin.6,stromal,Melanocyte,Melanocyte,stromal
subcutaneous.preadipocyte.2,subcutaneous.preadipocyte,subcutaneous.preadipocyte.2,ENCODE,subcutaneous.preadipocyte.2,stromal,pre-adipocytes,adipocytes,stromal
subcutaneous.preadipocyte.1,subcutaneous.preadipocyte,subcutaneous.preadipocyte.1,ENCODE,subcutaneous.preadipocyte.1,stromal,pre-adipocytes,adipocytes,stromal
subcutaneous.preadipocyte.4,subcutaneous.preadipocyte,subcutaneous.preadipocyte.4,ENCODE,subcutaneous.preadipocyte.4,stromal,pre-adipocytes,adipocytes,stromal
subcutaneous.preadipocyte.3,subcutaneous.preadipocyte,subcutaneous.preadipocyte.3,ENCODE,subcutaneous.preadipocyte.3,stromal,pre-adipocytes,adipocytes,stromal
articular.chondrocyte.of.knee.joint.3,articular.chondrocyte.of.knee.joint,articular.chondrocyte.of.knee.joint.3,ENCODE,articular.chondrocyte.of.knee.joint.3,stromal,Chondrocytes,Chondrocytes,stromal
articular.chondrocyte.of.knee.joint.1,articular.chondrocyte.of.knee.joint,articular.chondrocyte.of.knee.joint.1,ENCODE,articular.chondrocyte.of.knee.joint.1,stromal,Chondrocytes,Chondrocytes,stromal
articular.chondrocyte.of.knee.joint.2,articular.chondrocyte.of.knee.joint,articular.chondrocyte.of.knee.joint.2,ENCODE,articular.chondrocyte.of.knee.joint.2,stromal,Chondrocytes,Chondrocytes,stromal
articular.chondrocyte.of.knee.joint.4,articular.chondrocyte.of.knee.joint,articular.chondrocyte.of.knee.joint.4,ENCODE,articular.chondrocyte.of.knee.joint.4,stromal,Chondrocytes,Chondrocytes,stromal
mesenchymal.stem.cell.of.adipose.1,mesenchymal.stem.cell.of.adipose,mesenchymal.stem.cell.of.adipose.1,ENCODE,mesenchymal.stem.cell.of.adipose.1,HSC,MSC,MSC,HSC
